"2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"18407090667110.4","20926592432947.203","19198708654080.0","20705675785420.797","22659736131993.6","21373685648179.203","23972086216704.0","25536912470016.0","25786758678528.0","25226577179443.203","26299600896000.0","26385074598912.0","26312750696448.0","27686904843264.0","29527876905984.0","28120848258048.0","29225431495680.0","29396378901504.0","27910451450880.0","27614580940800.0","28101123557376.0","27634305641472.0","24669025640448.0","27082014022656.0","26437673800704.0","23834013312000.0","24938596549632.0","24491503334400.0","24721624842240.0"
"5228299035648.0","5316894515404.8","5470770874982.4","6504773382144.0","6897624391065.601","6737919381504.0","7227525980160.0","6995545710796.8","6743748031488.0","6929099100979.2","7669337648947.2","7256669230080.0","7010700200755.2","7284646750003.2","8056360007884.8","8309323417190.399","8863045165670.4","8793101365862.399","8506331786649.601","8502834596659.2","8689351396147.2","8406079006924.8","7594730929152.0","8154281327616.0","8802427205836.8","10363339671552.0","11105909679513.6","11250460199116.8","9884224642867.2"
"11712067817472.0","12413295290880.0","12129666278400.0","13421083484160.0","13994376168960.0","13155558451200.0","13016761274880.0","13052969233920.0","13728851136000.0","13710747156480.0","15032337661440.0","15859086059520.0","16685834457600.0","17470340236800.0","15352174632960.0","14253866542080.0","15364243952640.0","13541776680960.0","14621980792320.0","13390910184960.0","14115069365760.0","13439187463680.0","11207570254848.0","12054836496384.0","13584019299840.0","12111562298880.0","13976272189440.0","13795232394240.0","14465079636480.0"
"5447774836972.8","5897805004800.0","6114365032320.0","6688802024467.2","7186429321747.2","7421419989907.2","7473624779520.0","7384558708627.2","6899187787372.8","7255544224147.2","7628764697107.2","8117176674067.2","9190761491347.201","10179841821292.799","8405892659692.8","8565640237440.0","9714468145132.799","8521084163692.8","9058659874560.0","6803993528467.2","7066630157587.2","6782475755520.0","5483115590400.0","6065201298412.8","6925313220480.0","5971527567360.0","6937615673107.2","7174126869120.0","7390686896640.0"
"3255126971904.0","3399620894208.0","3542107956480.0","4017733784064.0","4187514142771.1997","4040611988428.8003","3992447347660.8003","4051047660595.1997","4096804069324.8003","4429942834636.8","4730971839436.8","4832518957056.0","4536707788339.2","4885901433907.2","5186930438707.2","5178902998579.2","6155842462156.8","5864045013504.0","5931074138572.8","5401263090124.8","5282055604224.0","6106072333363.2","5308947528652.8","5393235649996.8","6161060298240.0","5730388135372.8","5801029608499.2","6193170058752.0","6356528465356.8"
"3646657730764.8003","3737686252032.0","3959280935116.8003","4483384542412.8","4601077984051.2","4947721948876.8","5274137353420.8","5848812361420.8","5754105920102.399","5595035877888.0","6105347284992.0","6026272003891.2","6149482325606.399","5728360479744.0","5460791796019.2","5195062072320.0","5668594278912.0","5583082637721.601","6183503086080.0","5919612322406.399","6164194005811.2","6432682169548.8","5621700798259.2","6215684886528.0","6711284613427.2","6152240765644.8","6235913446809.601","6335217288192.0","6668069052825.601"
"12924156823680.0","14066449536000.0","13615353050880.0","12262063595520.0","12191731347840.0","12737412579840.0","13064821319040.0","13598376301440.0","14730968014080.0","16038177720960.0","16249174464000.0","16615387201920.0","17056782687360.0","17529706421760.0","14122230284160.0","13042994069760.0","13884555792000.0","12817445827200.0","12511864337280.0","11248309128960.0","12715585330560.0","12815020577280.0","11616947116800.0","13659007549440.0","13857878042880.0","12470635088640.0","14376881525760.0","14282296778880.0","15630735734400.0"
"3956769216000.0","4160342976000.0","4234725696000.0","4883029824000.0","5229105216000.0","4961327424000.0","5155896960000.0","4998127296000.0","4821957696000.0","4960152960000.0","5146892736000.0","4855625664000.0","4832136384000.0","5145326784000.0","5367300480000.0","5377870656000.0","5098348224000.0","5108918400000.0","5117922624000.0","5261598720000.0","5359470720000.0","5473002240000.0","5251028544000.0","5445598080000.0","6098208576000.0","6910937664000.0","7375633920000.0","7793351616000.0","6913678080000.0"
"2622473943040.0","2783947619532.8","2853192718028.8","3334961807564.8","3391536526336.0","3393893806284.8","3556546122752.0","3684133899980.8","3682660600012.8","3578645622272.0","3630211121152.0","3818793517056.0","3767228018176.0","4012679792844.8","4204208788684.8","4221888388300.8","4903142293504.0","4640894899200.0","4761705496576.0","4411944084172.8","4310286386380.8","4811797695488.0","4551023601152.0","4851576794624.0","5868153772544.0","5676624776704.0","5628005877760.0","5633899077632.0","6064102668288.0"
"6784260714496.0","7142577373184.0","7196027924480.0","6869385666560.0","7368257478656.0","7304908677120.0","7465260331008.0","7356379578368.0","7027757670400.0","7207905824768.0","7483077181440.0","8019562344448.0","7522670182400.0","7886925791232.0","7538507382784.0","6996083269632.0","7439524880384.0","7120801222656.0","7259376726016.0","6057729146880.0","6714972962816.0","6459598106624.0","5673677037568.0","6152752349184.0","6956490268672.0","6423964405760.0","7552364933120.0","7582059683840.0","8463003955200.0"
