日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,,
20240430,トヨタ自動車,7203,輸送用機器,5.15%,TOPIX Core30,,100.00%
20240430,三菱ＵＦＪフィナンシャル・グループ,8306,銀行業,2.44%,TOPIX Core30,,
20240430,ソニーグループ,6758,電気機器,2.39%,TOPIX Core30,,
20240430,東京エレクトロン,8035,電気機器,1.92%,TOPIX Core30,,
20240430,三菱商事,8058,卸売業,1.90%,TOPIX Core30,,
20240430,日立製作所,6501,電気機器,1.83%,TOPIX Core30,,
20240430,キーエンス,6861,電気機器,1.81%,TOPIX Core30,,
20240430,三井住友フィナンシャルグループ,8316,銀行業,1.62%,TOPIX Core30,,
20240430,三井物産,8031,卸売業,1.56%,TOPIX Core30,,
20240430,信越化学工業,4063,化学,1.44%,TOPIX Core30,,
20240430,リクルートホールディングス,6098,サービス業,1.32%,TOPIX Core30,,
20240430,日本電信電話,9432,情報・通信業,1.31%,TOPIX Core30,,
20240430,伊藤忠商事,8001,卸売業,1.31%,TOPIX Core30,,
20240430,任天堂,7974,その他製品,1.26%,TOPIX Core30,,
20240430,東京海上ホールディングス,8766,保険業,1.24%,TOPIX Core30,,
20240430,第一三共,4568,医薬品,1.21%,TOPIX Core30,,
20240430,本田技研工業,7267,輸送用機器,1.11%,TOPIX Core30,,
20240430,みずほフィナンシャルグループ,8411,銀行業,1.05%,TOPIX Core30,,
20240430,ソフトバンクグループ,9984,情報・通信業,1.01%,TOPIX Core30,,
20240430,武田薬品工業,4502,医薬品,0.95%,TOPIX Core30,,
20240430,ＨＯＹＡ,7741,精密機器,0.94%,TOPIX Core30,,
20240430,ＫＤＤＩ,9433,情報・通信業,0.88%,TOPIX Core30,,
20240430,三菱電機,6503,電気機器,0.80%,TOPIX Large70,,
20240430,ソフトバンク,9434,情報・通信業,0.79%,TOPIX Core30,,
20240430,住友商事,8053,卸売業,0.69%,TOPIX Large70,,
20240430,村田製作所,6981,電気機器,0.68%,TOPIX Core30,,
20240430,ダイキン工業,6367,機械,0.68%,TOPIX Core30,,
20240430,日本たばこ産業,2914,食料品,0.66%,TOPIX Large70,,
20240430,ＳＭＣ,6273,機械,0.65%,TOPIX Core30,,
20240430,三菱重工業,7011,機械,0.65%,TOPIX Large70,,
